,age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,pets,religion,sign,smokes,speaks
4246,49,single,m,straight,thin,mostly vegetarian,socially,never,graduated from masters program,,70.0,-1,artistic / musical / writer,2012-06-28-23-03,"san francisco, california",,likes dogs and likes cats,,cancer,no,"english (fluently), spanish (okay)"
4247,31,single,m,straight,jacked,,socially,never,graduated from college/university,white,71.0,-1,computer / hardware / software,2012-05-24-22-59,"menlo park, california",,likes dogs and likes cats,,aries but it doesn&rsquo;t matter,no,english
4248,27,single,f,straight,curvy,mostly anything,socially,never,graduated from college/university,white,65.0,-1,student,2012-06-26-21-22,"oakland, california",,likes dogs,judaism and laughing about it,pisces and it&rsquo;s fun to think about,when drinking,"english, french (okay), hebrew (poorly), spanish (okay), italian (poorly)"
4249,56,single,f,straight,,,socially,,graduated from masters program,white,66.0,-1,artistic / musical / writer,2012-06-22-09-51,"san anselmo, california",has kids,likes dogs and has cats,buddhism and laughing about it,pisces and it&rsquo;s fun to think about,no,"english (fluently), french (okay), spanish (okay), latin (poorly)"
4250,31,single,m,gay,thin,,rarely,never,graduated from masters program,asian,67.0,-1,science / tech / engineering,2012-06-29-23-13,"san francisco, california",,,christianity,cancer but it doesn&rsquo;t matter,no,"english (fluently), chinese (fluently)"
4251,41,single,f,straight,fit,,rarely,,graduated from college/university,white,65.0,-1,computer / hardware / software,2012-06-17-12-33,"san francisco, california",,likes dogs and likes cats,atheism and laughing about it,,no,"english (fluently), french (okay), c++ (poorly)"
4252,52,single,f,straight,average,mostly anything,rarely,never,graduated from law school,white,72.0,-1,computer / hardware / software,2012-06-27-07-23,"san francisco, california",,,agnosticism but not too serious about it,scorpio but it doesn&rsquo;t matter,no,english
4253,48,single,f,bisexual,curvy,mostly vegetarian,often,,graduated from college/university,white,70.0,-1,other,2012-06-22-22-10,"san francisco, california",doesn't want kids,likes dogs and has cats,other,aquarius and it&rsquo;s fun to think about,no,english
4254,22,single,f,bisexual,average,mostly anything,socially,never,working on college/university,"hispanic / latin, white",63.0,-1,artistic / musical / writer,2012-06-29-21-31,"belvedere tiburon, california",doesn't have kids,,,taurus and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay), italian (poorly)"
4255,21,single,m,straight,skinny,mostly anything,rarely,never,graduated from high school,hispanic / latin,68.0,-1,rather not say,2012-01-02-11-42,"oakland, california",,,,taurus,yes,"english (fluently), spanish (fluently)"
4256,35,single,f,bisexual,curvy,mostly vegetarian,often,never,graduated from college/university,white,63.0,-1,artistic / musical / writer,2012-06-29-21-52,"oakland, california",,,agnosticism and laughing about it,leo and it&rsquo;s fun to think about,no,english (fluently)
4257,34,single,m,straight,athletic,,,never,,,73.0,-1,,2012-05-29-10-26,"san rafael, california",,,,,,english
4258,23,single,m,straight,average,mostly anything,often,sometimes,,white,72.0,80000,executive / management,2012-06-28-23-03,"brisbane, california",doesn't have kids,has dogs and has cats,,taurus and it&rsquo;s fun to think about,yes,"english (fluently), spanish (okay)"
4259,57,single,f,straight,fit,mostly vegetarian,rarely,never,graduated from masters program,white,65.0,-1,medicine / health,2012-05-28-14-03,"san francisco, california",doesn't have kids,likes dogs,,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), french (okay)"
4260,65,single,m,straight,fit,,not at all,sometimes,graduated from college/university,white,70.0,30000,artistic / musical / writer,2012-06-25-14-11,"san francisco, california",doesn't want kids,likes cats,buddhism,scorpio,no,"english, english"
4261,28,single,m,gay,fit,mostly anything,socially,never,graduated from college/university,white,72.0,-1,,2012-06-29-18-00,"oakland, california","doesn't have kids, but wants them",likes dogs,,,no,english
4262,27,available,m,gay,average,,socially,never,graduated from ph.d program,white,72.0,-1,medicine / health,2012-06-20-22-20,"san francisco, california",,,atheism but not too serious about it,pisces but it doesn&rsquo;t matter,no,"english, spanish (okay)"
4263,57,single,f,straight,thin,anything,socially,never,graduated from med school,white,66.0,-1,medicine / health,2012-06-29-21-55,"san francisco, california",has kids,has dogs and likes cats,,,no,english
4264,29,single,m,straight,average,mostly vegetarian,rarely,never,graduated from college/university,"asian, black, native american, white",68.0,80000,science / tech / engineering,2012-06-29-21-49,"el cerrito, california","doesn't have kids, but wants them",,christianity but not too serious about it,scorpio and it&rsquo;s fun to think about,,english
4265,33,single,m,straight,thin,anything,socially,,graduated from college/university,white,71.0,20000,artistic / musical / writer,2012-06-29-21-13,"san francisco, california",doesn't have kids,likes dogs and likes cats,atheism and laughing about it,pisces but it doesn&rsquo;t matter,no,english
4266,40,single,m,straight,athletic,,socially,,graduated from college/university,white,69.0,-1,banking / financial / real estate,2012-06-29-00-56,"oakland, california",,likes dogs,judaism but not too serious about it,sagittarius,no,"english (fluently), russian (fluently), spanish (poorly)"
4267,34,single,f,straight,thin,mostly anything,socially,never,graduated from college/university,white,64.0,-1,sales / marketing / biz dev,2012-06-14-21-03,"san francisco, california",,,judaism but not too serious about it,sagittarius but it doesn&rsquo;t matter,no,english
4268,51,single,m,gay,average,,rarely,sometimes,graduated from masters program,white,67.0,-1,artistic / musical / writer,2012-06-30-02-21,"pacifica, california",,has dogs,buddhism and somewhat serious about it,aquarius but it doesn&rsquo;t matter,no,english
4269,42,single,m,gay,average,,socially,never,graduated from college/university,white,72.0,-1,artistic / musical / writer,2012-06-14-09-28,"san francisco, california",,likes dogs and has cats,judaism but not too serious about it,sagittarius and it&rsquo;s fun to think about,sometimes,english (fluently)
4270,50,married,m,straight,fit,strictly other,not at all,never,dropped out of two-year college,white,73.0,-1,construction / craftsmanship,2012-03-02-01-50,"crockett, california",has a kid,likes dogs and likes cats,other and somewhat serious about it,leo but it doesn&rsquo;t matter,trying to quit,"english (fluently), hungarian (fluently)"
4271,51,single,f,straight,fit,,socially,,graduated from college/university,white,63.0,-1,other,2012-01-08-20-06,"san francisco, california",,likes cats,judaism,,no,english
4272,23,single,f,straight,curvy,strictly anything,socially,never,graduated from college/university,"black, native american, hispanic / latin, white",71.0,-1,unemployed,2012-02-09-22-36,"oakland, california",,has dogs,christianity,,,"english, french (poorly), spanish (poorly), other (fluently)"
4273,37,single,f,straight,thin,mostly anything,rarely,never,graduated from masters program,asian,62.0,-1,medicine / health,2012-06-29-03-15,"san mateo, california",,,christianity and very serious about it,,no,"english, french (poorly), korean (okay)"
4274,25,single,m,straight,athletic,,socially,,graduated from college/university,white,70.0,-1,construction / craftsmanship,2012-06-27-07-37,"berkeley, california","doesn't have kids, but might want them",,,,,"english (fluently), italian (okay)"
4275,47,single,f,bisexual,athletic,,not at all,never,graduated from masters program,"black, native american, white",69.0,30000,medicine / health,2012-06-26-22-09,"emeryville, california",has a kid,has dogs and has cats,agnosticism,leo,no,"english (fluently), spanish (poorly)"
4276,58,single,f,straight,average,,socially,sometimes,graduated from college/university,white,66.0,-1,banking / financial / real estate,2012-06-27-17-46,"el cerrito, california",has kids,,,,no,english (fluently)
4277,56,single,f,straight,average,mostly vegetarian,,never,graduated from masters program,white,66.0,-1,education / academia,2011-09-04-15-59,"oakland, california",,likes dogs and has cats,judaism and somewhat serious about it,gemini but it doesn&rsquo;t matter,no,english (fluently)
4278,31,single,m,gay,athletic,mostly anything,socially,never,graduated from college/university,"indian, white",72.0,-1,executive / management,2012-06-28-08-56,"san francisco, california",,has dogs,atheism and laughing about it,sagittarius but it doesn&rsquo;t matter,no,"english, spanish (fluently)"
4279,38,single,m,straight,athletic,,rarely,never,graduated from college/university,other,66.0,-1,education / academia,2012-06-25-21-42,"el cerrito, california",has kids,,,libra and it&rsquo;s fun to think about,no,"english (fluently), turkish (okay), other (poorly), spanish (poorly)"
4280,20,single,m,straight,fit,,rarely,never,working on college/university,white,66.0,-1,student,2012-06-29-22-48,"san mateo, california",doesn't have kids,likes dogs and likes cats,buddhism and somewhat serious about it,virgo,no,"english (fluently), spanish (okay), japanese (poorly), chinese (poorly), korean (poorly)"
4281,20,single,f,straight,curvy,mostly vegetarian,socially,sometimes,working on college/university,other,67.0,-1,student,2012-06-29-18-58,"berkeley, california",,likes dogs and has cats,agnosticism,virgo but it doesn&rsquo;t matter,when drinking,english
4282,58,single,m,straight,average,anything,socially,never,dropped out of college/university,hispanic / latin,67.0,-1,construction / craftsmanship,2012-06-29-23-15,"alameda, california",has a kid,has dogs,agnosticism,aquarius but it doesn&rsquo;t matter,sometimes,"english, spanish"
4283,30,single,m,straight,fit,strictly anything,socially,,graduated from med school,indian,67.0,-1,medicine / health,2012-06-18-23-08,"san francisco, california",,likes dogs and likes cats,atheism,,,english
4284,30,single,m,straight,athletic,mostly anything,,,graduated from college/university,white,68.0,-1,medicine / health,2012-06-29-10-38,"san francisco, california",,likes dogs and likes cats,,,,english
4285,22,single,m,straight,fit,strictly vegan,often,never,working on college/university,,74.0,20000,student,2012-02-18-18-40,"san francisco, california",might want kids,,other and very serious about it,taurus and it&rsquo;s fun to think about,no,"english, latin (poorly)"
4286,59,single,f,straight,thin,mostly anything,socially,never,graduated from college/university,white,69.0,-1,executive / management,2012-04-18-21-11,"san francisco, california",has kids,has dogs and has cats,judaism but not too serious about it,scorpio and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly), french (poorly)"
4287,48,single,f,straight,thin,mostly anything,socially,never,graduated from college/university,"hispanic / latin, white, other",67.0,-1,artistic / musical / writer,2012-06-29-17-36,"san francisco, california",doesn't want kids,likes dogs,christianity but not too serious about it,taurus and it&rsquo;s fun to think about,no,"english (fluently), portuguese (fluently), spanish (fluently)"
4288,29,single,f,straight,thin,,socially,,graduated from masters program,white,70.0,-1,artistic / musical / writer,2012-06-28-09-23,"san francisco, california",,likes dogs,agnosticism but not too serious about it,aries but it doesn&rsquo;t matter,no,"english, italian (poorly), spanish (poorly)"
4289,28,single,f,straight,average,anything,socially,never,graduated from college/university,white,69.0,40000,artistic / musical / writer,2012-06-15-15-08,"alameda, california",doesn't have kids,,other,virgo,sometimes,"english, thai (poorly)"
4290,28,single,m,gay,fit,vegetarian,socially,,graduated from college/university,white,71.0,-1,other,2012-06-19-19-06,"san francisco, california",,,,aries and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay), other (okay)"
4291,35,available,f,gay,fit,,socially,never,graduated from college/university,white,63.0,20000,science / tech / engineering,2012-03-03-17-03,"lafayette, california",has a kid,likes dogs and has cats,agnosticism and laughing about it,aquarius but it doesn&rsquo;t matter,no,"english (fluently), german (poorly)"
4292,31,single,m,straight,average,,socially,never,graduated from college/university,indian,70.0,-1,science / tech / engineering,2012-06-29-18-28,"fremont, california",,,,,no,english
4293,32,single,m,straight,athletic,mostly vegetarian,socially,never,graduated from ph.d program,indian,71.0,150000,computer / hardware / software,2012-06-17-18-44,"san francisco, california",,likes dogs and likes cats,hinduism but not too serious about it,leo and it&rsquo;s fun to think about,no,"english (fluently), hindi (fluently)"
4294,19,single,m,straight,athletic,,,never,,asian,69.0,-1,,2011-11-07-21-26,"berkeley, california",,,,,,english
4295,22,single,m,straight,a little extra,mostly anything,not at all,never,working on college/university,white,76.0,-1,student,2012-06-01-13-21,"san francisco, california",,has cats,,,no,english (fluently)
4296,26,single,m,straight,thin,mostly anything,socially,never,graduated from college/university,other,68.0,-1,artistic / musical / writer,2012-05-19-01-53,"san francisco, california",,has dogs and has cats,,scorpio and it&rsquo;s fun to think about,when drinking,"english (fluently), french (fluently)"
4297,26,single,m,straight,thin,,socially,never,working on ph.d program,indian,68.0,30000,student,2012-01-20-11-15,"stanford, california",,likes dogs and likes cats,agnosticism but not too serious about it,,no,english
4298,25,single,f,straight,average,mostly anything,socially,never,graduated from college/university,,65.0,-1,clerical / administrative,2012-06-30-01-57,"san francisco, california",,,,capricorn but it doesn&rsquo;t matter,no,english
4299,25,single,f,gay,,,often,often,,white,69.0,-1,,2012-06-29-12-47,"oakland, california",,has dogs,,,when drinking,english
4300,26,single,f,straight,thin,,socially,sometimes,working on college/university,white,65.0,-1,education / academia,2012-06-29-07-32,"berkeley, california",doesn't have kids,likes dogs and likes cats,,,trying to quit,"english (fluently), spanish (poorly), french (poorly), japanese (poorly)"
4301,36,single,f,straight,average,,socially,sometimes,graduated from college/university,white,66.0,30000,other,2011-08-17-08-13,"oakland, california",,,buddhism and somewhat serious about it,taurus,no,"english, other, spanish"
4302,22,single,f,straight,average,strictly anything,very often,sometimes,working on college/university,white,68.0,-1,,2012-06-28-23-49,"san francisco, california",,,agnosticism and laughing about it,scorpio and it&rsquo;s fun to think about,yes,english
4303,25,seeing someone,m,straight,average,mostly anything,socially,,working on ph.d program,white,69.0,-1,education / academia,2012-06-16-11-49,"mountain view, california",,,other and laughing about it,,,"english (poorly), lisp (fluently)"
4304,36,single,m,straight,fit,strictly other,socially,never,graduated from masters program,other,72.0,1000000,other,2012-06-29-22-39,"san francisco, california",doesn't have kids,likes dogs and dislikes cats,other,libra,no,"english (fluently), spanish (okay)"
4305,24,single,m,straight,athletic,,socially,,graduated from college/university,white,74.0,-1,other,2012-06-27-21-27,"san francisco, california",,likes dogs,,leo,no,"english, spanish (fluently), french (okay), arabic (fluently), chinese (poorly)"
4306,39,single,m,straight,average,vegetarian,socially,never,graduated from college/university,white,72.0,-1,other,2012-06-27-04-50,"emeryville, california",doesn't want kids,likes dogs,atheism and laughing about it,gemini but it doesn&rsquo;t matter,no,english
4307,46,single,f,straight,thin,,socially,never,graduated from masters program,,69.0,-1,sales / marketing / biz dev,2012-06-21-21-52,"san mateo, california",doesn't have kids,has dogs,atheism,virgo but it doesn&rsquo;t matter,no,"english (fluently), french (poorly)"
4308,25,single,m,straight,fit,,socially,,graduated from masters program,,72.0,-1,banking / financial / real estate,2012-06-27-15-01,"san francisco, california",,,judaism but not too serious about it,,,english
4309,30,single,m,straight,a little extra,strictly anything,often,never,graduated from college/university,"asian, other",70.0,-1,science / tech / engineering,2012-06-30-01-04,"san francisco, california",doesn't have kids,,,,no,"english (fluently), japanese (fluently), c++ (fluently)"
4310,28,single,m,straight,fit,strictly vegetarian,socially,,graduated from two-year college,other,66.0,-1,,2012-06-30-02-40,"san rafael, california","doesn't have kids, but might want them",has cats,judaism but not too serious about it,aries but it doesn&rsquo;t matter,sometimes,"english (poorly), sign language (poorly)"
4311,28,single,m,straight,,,socially,never,graduated from high school,asian,67.0,-1,,2012-06-29-13-15,"san francisco, california",,likes dogs,christianity,sagittarius,no,"english (okay), chinese (fluently)"
4312,34,single,f,straight,thin,anything,socially,never,,white,69.0,-1,,2012-06-28-22-48,"san francisco, california",,,,taurus and it&rsquo;s fun to think about,no,english
4313,28,single,f,straight,fit,,socially,never,graduated from college/university,hispanic / latin,62.0,-1,clerical / administrative,2011-09-03-21-51,"redwood city, california",,has dogs,catholicism and somewhat serious about it,aquarius,no,"english (fluently), spanish (fluently)"
4314,27,single,m,straight,fit,,often,sometimes,graduated from college/university,white,73.0,-1,science / tech / engineering,2012-06-29-11-14,"san francisco, california",,likes dogs and likes cats,atheism,cancer,no,"english (fluently), french (okay)"
4315,26,single,m,straight,used up,,,never,graduated from college/university,black,71.0,-1,computer / hardware / software,2012-06-30-01-24,"san francisco, california",doesn't have kids,likes cats,,,no,english
4316,28,single,f,straight,average,,socially,never,two-year college,,60.0,-1,other,2012-03-26-23-16,"oakland, california",,has dogs and has cats,buddhism,cancer,no,"english, chinese"
4317,41,single,f,bisexual,curvy,mostly anything,not at all,never,graduated from masters program,asian,66.0,-1,medicine / health,2012-06-29-23-10,"oakland, california",has a kid,likes dogs,agnosticism but not too serious about it,leo but it doesn&rsquo;t matter,no,"english (fluently), chinese (okay)"
4318,32,single,f,straight,thin,,socially,never,graduated from masters program,,61.0,-1,,2012-06-28-19-43,"san francisco, california",,,agnosticism,scorpio and it&rsquo;s fun to think about,no,english (fluently)
4319,32,single,m,straight,athletic,,socially,never,graduated from masters program,white,73.0,-1,medicine / health,2012-06-29-19-57,"san francisco, california",,,,,no,english
4320,45,single,m,straight,average,,often,,graduated from masters program,white,73.0,-1,science / tech / engineering,2012-06-28-08-47,"oakland, california",,likes dogs and likes cats,agnosticism,pisces and it&rsquo;s fun to think about,yes,"english (fluently), german (fluently)"
4321,32,single,m,straight,fit,mostly anything,socially,sometimes,graduated from high school,white,69.0,40000,computer / hardware / software,2012-06-29-00-24,"san francisco, california",doesn't have kids,likes dogs and likes cats,,libra,no,english (fluently)
4322,35,single,m,straight,athletic,mostly anything,socially,never,graduated from college/university,,70.0,100000,science / tech / engineering,2012-06-29-18-25,"alameda, california","doesn't have kids, but wants them",likes dogs,agnosticism,,,english (fluently)
4323,29,available,m,bisexual,athletic,,rarely,never,graduated from college/university,white,69.0,-1,science / tech / engineering,2012-06-19-03-48,"brisbane, california",,,other,libra,no,"english (fluently), italian (poorly)"
4324,27,single,m,straight,athletic,,socially,never,graduated from college/university,,70.0,100000,sales / marketing / biz dev,2012-06-29-15-18,"walnut creek, california",doesn't have kids,,,gemini,no,english
4325,26,seeing someone,m,straight,thin,,socially,,graduated from college/university,white,75.0,-1,medicine / health,2012-06-27-19-38,"san francisco, california",,likes dogs and likes cats,atheism and laughing about it,aquarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently), french (poorly)"
4326,30,single,f,straight,thin,mostly anything,often,sometimes,graduated from masters program,white,68.0,-1,,2012-06-29-10-20,"san francisco, california",,,,aries and it&rsquo;s fun to think about,no,"english, spanish (poorly)"
4327,63,single,m,straight,average,mostly anything,socially,never,graduated from masters program,black,67.0,-1,sales / marketing / biz dev,2012-06-29-19-16,"corte madera, california",has kids,likes dogs and likes cats,christianity and very serious about it,pisces and it&rsquo;s fun to think about,no,"english (fluently), german (okay), spanish (poorly)"
4328,27,single,f,straight,curvy,anything,socially,never,graduated from ph.d program,"asian, middle eastern, white, other",62.0,-1,science / tech / engineering,2012-06-29-23-49,"berkeley, california",,likes dogs,,pisces but it doesn&rsquo;t matter,no,"english (okay), turkish (fluently)"
4329,26,single,f,straight,athletic,strictly anything,socially,,working on law school,white,63.0,-1,student,2012-06-28-18-23,"oakland, california",,likes dogs and likes cats,judaism but not too serious about it,leo but it doesn&rsquo;t matter,no,"english (fluently), french (poorly), latin (poorly)"
4330,39,married,m,straight,fit,mostly anything,rarely,never,graduated from college/university,asian,69.0,100000,artistic / musical / writer,2012-06-20-10-19,"san francisco, california",has a kid,likes dogs and has cats,agnosticism and laughing about it,leo but it doesn&rsquo;t matter,no,"english (fluently), chinese (poorly), c++ (fluently), korean (poorly)"
4331,22,seeing someone,f,bisexual,curvy,mostly anything,socially,sometimes,working on college/university,white,63.0,20000,student,2012-06-09-20-51,"menlo park, california",,likes dogs and likes cats,atheism,pisces but it doesn&rsquo;t matter,no,english (fluently)
4332,22,available,f,bisexual,curvy,strictly anything,socially,sometimes,dropped out of space camp,white,65.0,-1,other,2012-06-27-22-26,"portland, oregon",,likes dogs and likes cats,atheism and laughing about it,aries but it doesn&rsquo;t matter,no,english
4333,29,single,f,straight,fit,anything,socially,never,graduated from masters program,white,65.0,-1,medicine / health,2012-06-29-19-17,"berkeley, california",,likes dogs and likes cats,,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay), yiddish (poorly)"
4334,33,single,m,straight,average,mostly anything,often,sometimes,graduated from masters program,indian,69.0,-1,entertainment / media,2012-06-30-01-59,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,atheism but not too serious about it,aquarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)"
4335,27,single,m,straight,athletic,mostly other,socially,,working on med school,asian,70.0,-1,medicine / health,2012-06-28-22-41,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), chinese (okay)"
4336,32,single,f,straight,curvy,,socially,,working on masters program,,67.0,-1,medicine / health,2012-06-28-22-49,"oakland, california",doesn't have kids,has dogs,judaism but not too serious about it,cancer and it&rsquo;s fun to think about,no,english
4337,31,single,m,straight,average,,socially,,working on law school,white,67.0,-1,student,2012-01-18-23-03,"san francisco, california",,,other but not too serious about it,libra and it&rsquo;s fun to think about,no,"english, spanish (poorly)"
4338,31,single,f,straight,athletic,anything,rarely,never,,black,71.0,-1,banking / financial / real estate,2012-06-29-23-48,"san pablo, california","has kids, and might want more",likes dogs and likes cats,christianity and somewhat serious about it,scorpio and it&rsquo;s fun to think about,when drinking,english
4339,31,single,m,straight,thin,mostly anything,socially,never,working on space camp,"white, other",64.0,40000,other,2012-06-29-23-43,"castro valley, california",doesn't have kids,likes dogs and likes cats,,aries and it&rsquo;s fun to think about,no,english (fluently)
4340,27,single,m,straight,athletic,,often,,graduated from college/university,indian,70.0,-1,sales / marketing / biz dev,2012-01-08-02-36,"san francisco, california",,,,aries and it&rsquo;s fun to think about,no,english
4341,20,single,m,straight,athletic,,socially,,working on college/university,,69.0,-1,,2012-06-28-03-50,"san pablo, california",doesn't have kids,likes dogs,,pisces,sometimes,"english, spanish (okay), hindi (fluently), other"
4342,22,single,f,straight,,vegetarian,desperately,never,,,61.0,-1,,2012-06-25-16-41,"san francisco, california",,,,libra and it&rsquo;s fun to think about,,"english (fluently), spanish (okay), hindi (okay)"
4343,32,single,m,straight,fit,mostly anything,socially,never,graduated from law school,indian,66.0,-1,law / legal services,2012-06-24-09-21,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,agnosticism,pisces but it doesn&rsquo;t matter,no,"english (fluently), french (poorly)"
4344,22,single,m,straight,skinny,strictly anything,socially,never,working on college/university,white,74.0,-1,student,2012-06-30-02-14,"berkeley, california",doesn't have kids,likes cats,atheism and laughing about it,,no,"english (fluently), german (poorly)"
4345,24,single,f,straight,thin,anything,socially,,,white,64.0,-1,other,2012-06-27-10-56,"san francisco, california",doesn't want kids,,,pisces but it doesn&rsquo;t matter,sometimes,english
4346,30,single,m,straight,fit,anything,often,sometimes,graduated from college/university,white,67.0,-1,education / academia,2012-03-14-00-17,"san francisco, california",,likes dogs and likes cats,atheism and laughing about it,aries,no,"english, spanish (poorly)"
4347,27,single,m,straight,fit,mostly anything,socially,never,graduated from masters program,,71.0,-1,computer / hardware / software,2012-06-30-01-15,"san francisco, california",doesn't have kids,,,leo,no,"english (fluently), chinese"
4348,18,single,m,straight,athletic,,not at all,never,,,70.0,-1,other,2012-01-20-23-52,"pinole, california",,,,leo,no,english
4349,23,single,f,straight,fit,,socially,never,working on college/university,asian,65.0,-1,student,2012-03-27-21-38,"berkeley, california",,,,aquarius but it doesn&rsquo;t matter,no,"english, korean, japanese"
4350,56,single,f,straight,thin,mostly anything,socially,never,,native american,65.0,-1,executive / management,2012-06-28-15-35,"oakland, california",has kids,,other,pisces,no,english
4351,23,single,m,straight,average,anything,socially,never,working on college/university,other,68.0,20000,student,2012-06-20-22-14,"el cerrito, california",,likes dogs,hinduism but not too serious about it,virgo but it doesn&rsquo;t matter,when drinking,english (fluently)
4352,42,available,f,bisexual,fit,mostly anything,socially,sometimes,,white,62.0,-1,science / tech / engineering,2012-06-26-17-00,"el cerrito, california",has kids,,atheism but not too serious about it,virgo and it&rsquo;s fun to think about,no,english
4353,30,single,f,straight,average,,not at all,never,graduated from college/university,white,66.0,-1,education / academia,2012-06-30-00-07,"albany, california","doesn't have kids, but might want them",has dogs,other but not too serious about it,aquarius and it&rsquo;s fun to think about,,english
4354,31,single,f,straight,athletic,,socially,,graduated from masters program,white,70.0,60000,education / academia,2012-06-29-20-44,"san francisco, california",,likes dogs and has cats,,scorpio,no,"english, spanish"
4355,31,single,f,straight,average,mostly vegetarian,socially,,graduated from college/university,white,61.0,50000,entertainment / media,2012-06-29-23-16,"berkeley, california","doesn't have kids, but might want them",has dogs and likes cats,christianity and laughing about it,taurus but it doesn&rsquo;t matter,no,english
4356,42,single,f,gay,curvy,,socially,never,graduated from college/university,white,66.0,-1,other,2012-04-08-10-26,"oakland, california",doesn't want kids,has cats,agnosticism but not too serious about it,taurus but it doesn&rsquo;t matter,trying to quit,english
4357,34,single,f,straight,curvy,anything,,,graduated from masters program,white,68.0,-1,education / academia,2012-03-18-11-35,"berkeley, california",,,,,no,english
4358,25,single,m,straight,fit,mostly anything,socially,never,graduated from masters program,indian,68.0,-1,computer / hardware / software,2012-06-29-18-03,"san francisco, california",doesn't have kids,,,virgo but it doesn&rsquo;t matter,no,english
4359,31,single,m,straight,athletic,,socially,never,,white,73.0,70000,other,2012-06-26-16-49,"walnut creek, california",,likes dogs,christianity,cancer,,english
4360,24,single,f,gay,curvy,,often,,working on college/university,white,63.0,-1,,2012-06-28-18-20,"san francisco, california",,,,virgo,when drinking,"english (fluently), german (okay), italian (poorly)"
4361,24,single,f,bisexual,average,mostly anything,socially,,graduated from college/university,white,69.0,-1,science / tech / engineering,2012-06-29-22-18,"san francisco, california",doesn't have kids,,atheism,,sometimes,english
4362,28,single,m,straight,fit,vegetarian,socially,never,graduated from masters program,indian,67.0,-1,executive / management,2012-06-29-23-50,"redwood city, california",,,hinduism but not too serious about it,cancer but it doesn&rsquo;t matter,no,"english, hindi"
4363,31,single,f,straight,thin,,socially,,graduated from masters program,white,67.0,-1,,2012-03-11-21-02,"san francisco, california",,,,,no,english
4364,35,single,f,straight,a little extra,,rarely,never,graduated from college/university,white,67.0,-1,sales / marketing / biz dev,2012-06-29-21-45,"emeryville, california",,likes dogs,atheism,taurus,no,english
4365,30,single,m,straight,athletic,mostly anything,socially,never,working on space camp,,70.0,-1,other,2012-06-30-00-29,"berkeley, california",doesn't have kids,likes dogs,,sagittarius and it&rsquo;s fun to think about,no,english
4366,25,single,m,straight,,,often,never,graduated from college/university,white,66.0,-1,science / tech / engineering,2012-06-21-20-21,"fremont, california",,,,pisces,no,english
4367,43,single,f,straight,fit,mostly vegetarian,socially,,graduated from masters program,other,59.0,-1,other,2012-06-26-23-05,"san francisco, california",has a kid,has cats,other,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)"
4368,29,single,f,straight,average,mostly anything,socially,never,working on college/university,"white, other",64.0,20000,artistic / musical / writer,2012-06-13-19-13,"millbrae, california",,,catholicism and laughing about it,taurus and it&rsquo;s fun to think about,no,"english (fluently), french (okay), sign language (poorly)"
4369,29,available,m,straight,thin,,often,sometimes,working on college/university,white,66.0,60000,computer / hardware / software,2012-04-12-00-22,"san francisco, california",,likes dogs and likes cats,atheism,sagittarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly), hebrew (poorly)"
4370,26,single,f,bisexual,a little extra,,socially,never,graduated from law school,white,70.0,20000,other,2012-06-30-00-16,"san francisco, california","doesn't have kids, and doesn't want any",likes dogs and likes cats,atheism and very serious about it,libra but it doesn&rsquo;t matter,no,english (fluently)
4371,21,single,f,straight,curvy,mostly vegetarian,socially,,working on college/university,white,69.0,20000,student,2012-06-12-15-50,"martinez, california","doesn't have kids, but might want them",likes dogs and has cats,christianity but not too serious about it,aquarius but it doesn&rsquo;t matter,no,"english (fluently), sign language (okay), spanish (okay)"
4372,32,single,m,gay,,,socially,sometimes,,"native american, pacific islander, hispanic / latin",69.0,-1,sales / marketing / biz dev,2012-06-28-22-39,"san francisco, california",,likes dogs,,taurus and it&rsquo;s fun to think about,when drinking,english (fluently)
4373,27,single,f,bisexual,average,,socially,,working on masters program,white,64.0,-1,student,2012-06-30-01-46,"berkeley, california",,likes dogs and likes cats,other and somewhat serious about it,pisces and it&rsquo;s fun to think about,no,"english (fluently), french (poorly), japanese (poorly)"
4374,27,single,f,straight,athletic,strictly anything,often,never,graduated from college/university,black,65.0,-1,hospitality / travel,2012-06-25-22-05,"san francisco, california",,likes dogs and dislikes cats,,libra and it&rsquo;s fun to think about,no,english (fluently)
4375,33,single,f,straight,fit,,socially,never,graduated from masters program,other,64.0,-1,,2012-06-29-21-40,"san francisco, california",,,,,no,english
